title,genre,link
Naruto,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",https://myanimelist.net/anime/20/Naruto
Mobile Suit Gundam Thunderbolt: December Sky,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",https://myanimelist.net/anime/33221/Mobile_Suit_Gundam_Thunderbolt__December_Sky
Magi: Sinbad no Bouken,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']",https://myanimelist.net/anime/22097/Magi__Sinbad_no_Bouken
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,"['Action', 'Military', 'Sci-Fi', 'Space']",https://myanimelist.net/anime/3014/Ginga_Eiyuu_Densetsu__Waga_Yuku_wa_Hoshi_no_Taikai
Gake no Ue no Ponyo,"['Adventure', 'Fantasy']",https://myanimelist.net/anime/2890/Gake_no_Ue_no_Ponyo
Fairy Tail,"['Action', 'Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']",https://myanimelist.net/anime/6702/Fairy_Tail
Eikoku Koi Monogatari Emma: Molders-hen,"['Slice of Life', 'Romance', 'Historical', 'Drama', 'Seinen']",https://myanimelist.net/anime/2035/Eikoku_Koi_Monogatari_Emma__Molders-hen
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen","['Drama', 'Romance', 'School']",https://myanimelist.net/anime/6351/Clannad__After_Story_-_Mou_Hitotsu_no_Sekai_Kyou-hen
Zan Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']",https://myanimelist.net/anime/6377/Zan_Sayonara_Zetsubou_Sensei
Akachan to Boku,"['Comedy', 'Drama', 'Shoujo']",https://myanimelist.net/anime/1485/Akachan_to_Boku
Seto no Hanayome OVA,"['Comedy', 'Parody', 'Romance', 'School', 'Shounen']",https://myanimelist.net/anime/4163/Seto_no_Hanayome_OVA
Saiyuuki Reload: Burial,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shoujo']",https://myanimelist.net/anime/2143/Saiyuuki_Reload__Burial
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,"['Adventure', 'Fantasy', 'Historical', 'Romance']",https://myanimelist.net/anime/6007/Ookami_to_Koushinryou_II__Ookami_to_Kohakuiro_no_Yuuutsu
Magic Kaito 1412,"['Adventure', 'Comedy', 'Romance', 'Shounen']",https://myanimelist.net/anime/25517/Magic_Kaito_1412
Lupin III (2015),"['Action', 'Adventure', 'Comedy', 'Mystery', 'Seinen']",https://myanimelist.net/anime/27947/Lupin_III_2015
Les Misérables: Shoujo Cosette,"['Slice of Life', 'Historical', 'Drama', 'Shoujo']",https://myanimelist.net/anime/1695/Les_Mis%C3%A9rables__Shoujo_Cosette
Initial D Third Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Romance', 'Seinen']",https://myanimelist.net/anime/187/Initial_D_Third_Stage
Hanasaku Iroha: Home Sweet Home,"['Slice of Life', 'Comedy', 'Drama']",https://myanimelist.net/anime/14175/Hanasaku_Iroha__Home_Sweet_Home
Hoozuki no Reitetsu OVA,"['Comedy', 'Demons', 'Supernatural', 'Fantasy', 'Seinen']",https://myanimelist.net/anime/24471/Hoozuki_no_Reitetsu_OVA
Haikyuu!! Movie 3: Sainou to Sense,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']",https://myanimelist.net/anime/35110/Haikyuu_Movie_3__Sainou_to_Sense
Devilman: Crybaby,"['Action', 'Dementia', 'Demons', 'Horror', 'Supernatural']",https://myanimelist.net/anime/35120/Devilman__Crybaby
Detective Conan Movie 01: The Timed Skyscraper,"['Adventure', 'Mystery', 'Comedy', 'Police', 'Shounen']",https://myanimelist.net/anime/779/Detective_Conan_Movie_01__The_Timed_Skyscraper
